tarih,uyruk,ziyaretci_sayisi
2023-11-01,Komorlar,24
2023-11-01,Belize,23
2023-11-01,Madagaskar,23
2023-11-01,Namibya,23
2023-11-01,Surinam,21
2023-11-01,Gine Bissau,21
2023-11-01,Vanuatu,19
2023-11-01,Liberya,17
2023-11-01,San Marino,14
2023-11-01,Malavi,13
2023-11-01,Orta Afrika Cumhuriyeti,12
2023-11-01,Laos,12
2023-11-01,Bahama Adaları,11
2023-11-01,Monako,8
2023-11-01,Esvatini,7
2023-11-01,Bhutan,5
2023-11-01,Avrupa Birliği,5
2023-11-01,Lesotho,3
2023-11-01,Somaliland,3
2023-11-01,Papua Yeni Gine,3
2023-11-01,Tonga,3
2023-11-01,Guyana,2
2023-11-01,Saint Vincent,2
2023-11-01,Doğu Timor,2
2023-11-01,Vatikan,2
2023-11-01,Sao Tome,2
2023-11-01,Kuzey Kore,1
2023-10-01,Rusya,165099
2023-10-01,Almanya,132279
2023-10-01,İran,106744
2023-10-01,ABD,93523
2023-10-01,Birleşik Krallık,72833
2023-10-01,Fransa,61709
2023-10-01,İtalya,49660
2023-10-01,Özbekistan,34119
2023-10-01,Kazakistan,31289
2023-10-01,Suudi Arabistan,31212
2023-10-01,Hollanda,30939
2023-10-01,Irak,30717
2023-10-01,İspanya,27313
2023-10-01,Cezayir,27150
2023-10-01,Çin,25466
2023-10-01,Azerbaycan,25428
2023-10-01,Hindistan,24257
2023-10-01,Fas,22092
2023-10-01,Romanya,19751
2023-10-01,Kanada,19553
2023-10-01,İsviçre,18592
2023-10-01,Ukrayna,17774
2023-10-01,Endonezya,17221
2023-10-01,Belçika,15558
2023-10-01,Güney Kore,15412
2023-10-01,Lübnan,15406
2023-10-01,Mısır,15390
2023-10-01,Avusturya,15353
2023-10-01,Libya,15126
2023-10-01,İsrail,15094
2023-10-01,Ürdün,14682
2023-10-01,Meksika,14289
2023-10-01,Avustralya,13837
2023-10-01,Tunus,13540
2023-10-01,İsveç,12832
2023-10-01,Türkmenistan,11835
2023-10-01,Pakistan,11152
2023-10-01,Bulgaristan,10806
2023-10-01,Kuveyt,10604
2023-10-01,Yunanistan,10440
2023-10-01,Polonya,10030
2023-10-01,Kırgızistan,9426
2023-10-01,Kosova,9022
2023-10-01,Brezilya,8936
2023-10-01,Malezya,8803
2023-10-01,Macaristan,8678
2023-10-01,Belarus,8646
2023-10-01,Gürcistan,8500
2023-10-01,Danimarka,8335
2023-10-01,Suriye,7849
2023-10-01,Kuzey Kıbrıs,7339
2023-10-01,Japonya,6988
2023-10-01,Kolombiya,6962
2023-10-01,Bosna Hersek,6957
2023-10-01,Güney Afrika,6148
2023-10-01,Tacikistan,6143
2023-10-01,Portekiz,6084
2023-10-01,Filipinler,6069
2023-10-01,Sırbistan,5717
2023-10-01,Norveç,5451
2023-10-01,Hırvatistan,5434
2023-10-01,Arnavutluk,5304
2023-10-01,Tayvan,5223
2023-10-01,Arjantin,4869
2023-10-01,İrlanda,4662
2023-10-01,Çekya,4632
2023-10-01,Slovenya,4375
2023-10-01,Afganistan,3951
2023-10-01,Singapur,3838
2023-10-01,Kuzey Makedonya,3805
2023-10-01,Tayland,3546
2023-10-01,Moldova,3403
2023-10-01,Finlandiya,3353
2023-10-01,Litvanya,3222
2023-10-01,Katar,3031
2023-10-01,Filistin,2990
2023-10-01,Moğolistan,2945
2023-10-01,Letonya,2885
2023-10-01,Birleşik Arap Emirlikleri,2804
2023-10-01,Slovakya,2705
2023-10-01,Milliyetsiz (Haymatlos),2701
2023-10-01,Şili,2536
2023-10-01,Yemen,2417
2023-10-01,Hong Kong,2238
2023-10-01,Yeni Zelanda,2237
2023-10-01,Nijerya,2231
2023-10-01,Venezuela,2218
2023-10-01,Etiyopya,2134
2023-10-01,Bangladeş,1989
2023-10-01,Bahreyn,1974
2023-10-01,Peru,1825
2023-10-01,Ekvador,1709
2023-10-01,Karadağ,1701
2023-10-01,Umman,1664
2023-10-01,Estonya,1637
2023-10-01,Ermenistan,1486
2023-10-01,Eritre,1238
2023-10-01,Sudan,1191
2023-10-01,Senegal,1184
2023-10-01,Kenya,1182
2023-10-01,Kosta Rika,1009
2023-10-01,Mauritius,934
2023-10-01,Malta,916
2023-10-01,Güney Kıbrıs,841
2023-10-01,Panama,798
2023-10-01,Somali,766
2023-10-01,Birleşmiş Milletler,749
2023-10-01,Kamerun,744
2023-10-01,Guatemala,725
2023-10-01,Demokratik Kongo Cumhuriyeti,687
2023-10-01,Uruguay,658
2023-10-01,Uganda,637
2023-10-01,Dominika,605
2023-10-01,Çad,605
2023-10-01,Saint Kitts,601
2023-10-01,Lüksemburg,572
2023-10-01,Tanzanya,532
2023-10-01,Sri Lanka,530
2023-10-01,Mali,517
2023-10-01,Vietnam,511
2023-10-01,Fildişi Sahili,506
2023-10-01,Nepal,506
2023-10-01,Gine,495
